,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_inch,Weight_pounds,Price-binned,Screen-Full HD,Screen-IPS_panel
119,119,Lenovo,3,3,1,7,39.62,1.0,8,256,2.67,2655,15.598425196850393,1.2108843537414966,Medium,True,False
120,120,Dell,4,2,1,5,39.62,0.5517241379310345,8,256,1.42,2340,15.598425196850393,0.6439909297052153,Medium,True,False
121,121,Dell,5,3,1,7,39.62,0.9655172413793103,8,256,1.78,3059,15.598425196850393,0.8072562358276644,High,True,False
122,122,Toshiba,3,2,1,5,33.02,0.8620689655172414,8,256,1.05,2124,13.000000000000002,0.4761904761904762,Medium,False,True
123,123,HP,3,2,1,5,33.02,0.5517241379310345,4,128,1.49,922,13.000000000000002,0.6757369614512472,Low,False,True
124,124,Lenovo,3,2,1,5,35.56,0.5517241379310345,8,256,1.75,1333,14.0,0.7936507936507936,Low,False,True
125,125,Lenovo,3,3,1,5,38.1,0.8620689655172414,8,256,2.3,1286,15.0,1.0430839002267573,Low,False,True
126,126,Lenovo,3,2,1,7,39.62,0.6206896551724138,8,256,2.17,1142,15.598425196850393,0.9841269841269841,Low,True,False
127,127,Lenovo,3,2,1,3,33.02,0.8275862068965517,8,256,1.4,1206,13.000000000000002,0.6349206349206349,Low,False,True
128,128,Lenovo,3,2,1,5,38.1,0.8620689655172414,8,256,2.3,1157,15.0,1.0430839002267573,Low,False,True
129,129,Lenovo,3,2,1,5,33.78,0.8620689655172414,8,256,1.44,1206,13.299212598425196,0.6530612244897959,Low,True,False
130,130,Dell,4,2,1,5,33.78,0.8620689655172414,8,128,1.29,1142,13.299212598425196,0.5850340136054422,Low,False,True
131,131,HP,3,3,1,5,39.62,0.8620689655172414,8,256,2.04,1129,15.598425196850393,0.9251700680272109,Low,True,False
132,132,HP,4,2,1,7,33.02,0.9310344827586208,8,256,1.32,1777,13.000000000000002,0.5986394557823129,Medium,False,True
133,133,Dell,3,2,1,5,35.56,0.896551724137931,8,256,1.64,1626,14.0,0.7437641723356009,Medium,True,False
134,134,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,2.02,1702,14.0,0.9160997732426304,Medium,True,False
135,135,Dell,3,2,1,5,39.62,0.9655172413793103,8,256,1.9,1749,15.598425196850393,0.8616780045351473,Medium,True,False
136,136,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,1.93,1739,15.598425196850393,0.8752834467120181,Medium,True,False
137,137,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.2,1013,15.598425196850393,0.997732426303855,Low,True,False
138,138,Lenovo,3,3,1,7,35.56,0.9310344827586208,8,256,1.87,1091,14.0,0.8480725623582767,Low,False,True
139,139,Dell,3,2,1,3,35.56,0.6896551724137931,4,128,1.6,935,14.0,0.7256235827664399,Low,True,False
140,140,HP,3,2,1,3,39.62,0.8275862068965517,4,128,2.1,896,15.598425196850393,0.9523809523809524,Low,True,False
141,141,Lenovo,3,2,1,3,39.62,0.6896551724137931,4,128,2.2,634,15.598425196850393,0.997732426303855,Low,True,False
142,142,Dell,3,2,1,5,39.62,0.8620689655172414,8,256,1.9,1419,15.598425196850393,0.8616780045351473,Low,True,False
143,143,Lenovo,3,2,1,3,39.62,0.9310344827586208,4,128,2.05,800,15.598425196850393,0.929705215419501,Low,True,False
144,144,Lenovo,3,3,1,7,43.18,0.9655172413793103,8,256,3.4,3810,17.0,1.5419501133786848,High,False,True
145,145,Lenovo,3,2,1,5,39.62,0.8620689655172414,8,256,2.3,1054,15.598425196850393,1.0430839002267573,Low,True,False
146,146,Dell,3,1,2,7,39.62,0.9310344827586208,8,256,2.2,951,15.598425196850393,0.997732426303855,Low,True,False
147,147,HP,3,2,1,3,33.78,0.8275862068965517,4,128,1.49,913,13.299212598425196,0.6757369614512472,Low,True,False
148,148,Dell,3,3,1,7,39.62,0.9655172413793103,16,256,1.93,1953,15.598425196850393,0.8752834467120181,Medium,True,False
149,149,Lenovo,4,2,1,7,35.56,0.896551724137931,12,256,1.4,2125,14.0,0.6349206349206349,Medium,False,True
150,150,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.7,1872,14.0,0.7709750566893424,Medium,False,True
151,151,Dell,5,3,1,7,39.62,0.9655172413793103,8,256,2.06,2240,15.598425196850393,0.9342403628117913,Medium,True,False
152,152,HP,3,2,1,7,39.62,0.9310344827586208,8,256,1.84,1548,15.598425196850393,0.8344671201814059,Low,True,False
153,153,Toshiba,3,2,1,7,38.1,0.8620689655172414,8,256,2.2,1777,15.0,0.997732426303855,Medium,False,True
154,154,Dell,3,1,2,5,39.62,0.8620689655172414,4,128,2.18,723,15.598425196850393,0.9886621315192744,Low,True,False
155,155,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.65,1861,14.0,0.7482993197278911,Medium,True,False
156,156,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,2.0,2312,15.598425196850393,0.9070294784580498,Medium,True,False
157,157,Lenovo,3,2,1,5,39.62,0.5517241379310345,4,256,1.8,1053,15.598425196850393,0.8163265306122449,Low,True,False
158,158,Acer,4,2,1,5,35.56,0.8620689655172414,8,256,1.8,1167,14.0,0.8163265306122449,Low,False,True
159,159,Razer,1,3,1,7,35.56,0.9655172413793103,16,256,1.95,3301,14.0,0.8843537414965986,High,True,False
160,160,Toshiba,3,2,1,5,33.78,0.793103448275862,8,256,1.2,1541,13.299212598425196,0.5442176870748299,Low,True,False
161,161,Lenovo,4,2,1,7,30.48,0.9310344827586208,8,256,1.36,2012,12.0,0.6167800453514739,Medium,False,True
162,162,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.2,1842,13.299212598425196,0.5442176870748299,Medium,True,False
163,163,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.2,1167,15.598425196850393,0.997732426303855,Low,True,False
164,164,Dell,3,2,1,5,35.56,0.8275862068965517,8,256,1.56,1561,14.0,0.7074829931972789,Low,True,False
165,165,Toshiba,3,2,1,5,38.1,0.8620689655172414,8,256,2.0,1598,15.0,0.9070294784580498,Low,False,True
166,166,Asus,4,2,1,5,35.56,0.8620689655172414,8,256,1.1,1442,14.0,0.4988662131519275,Low,True,False
167,167,Acer,1,3,1,5,39.62,0.8620689655172414,16,256,2.5,1650,15.598425196850393,1.1337868480725624,Medium,True,False
168,168,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.2,1268,15.598425196850393,0.997732426303855,Low,True,False
169,169,HP,3,1,1,3,43.18,0.6896551724137931,4,256,2.5,888,17.0,1.1337868480725624,Low,False,True
170,170,Lenovo,3,2,1,5,35.56,0.8620689655172414,4,256,1.7,888,14.0,0.7709750566893424,Low,True,False
171,171,Toshiba,3,2,1,5,33.02,0.8620689655172414,8,256,1.5,1236,13.000000000000002,0.6802721088435374,Low,False,True
172,172,Dell,3,2,1,5,39.62,0.8620689655172414,8,256,2.18,1010,15.598425196850393,0.9886621315192744,Low,True,False
173,173,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.8,1513,14.0,0.8163265306122449,Low,True,False
174,174,Dell,3,3,2,5,35.56,0.9655172413793103,8,256,1.64,1383,14.0,0.7437641723356009,Low,True,False
175,175,Lenovo,3,3,1,5,35.56,0.8620689655172414,8,256,1.87,1089,14.0,0.8480725623582767,Low,False,True
176,176,Dell,3,2,1,5,39.62,0.896551724137931,8,256,1.9,1498,15.598425196850393,0.8616780045351473,Low,True,False
177,177,HP,3,3,1,7,43.94,0.9310344827586208,8,256,2.63,1524,17.299212598425196,1.1927437641723355,Low,True,False
178,178,Lenovo,4,2,1,5,35.56,0.8620689655172414,8,256,1.32,1904,14.0,0.5986394557823129,Medium,False,True
179,179,Lenovo,3,2,1,5,33.02,0.8620689655172414,8,256,1.44,1219,13.000000000000002,0.6530612244897959,Low,False,True
180,180,HP,5,3,1,7,39.62,0.9655172413793103,16,256,2.6,3073,15.598425196850393,1.1791383219954648,High,True,False
181,181,Toshiba,3,2,1,5,35.56,0.8620689655172414,8,256,1.25,1950,14.0,0.5668934240362812,Medium,False,True
182,182,Samsung,4,2,1,7,33.78,0.9310344827586208,16,256,0.81,2095,13.299212598425196,0.3673469387755102,Medium,True,False
183,183,HP,3,2,1,3,39.62,0.6896551724137931,8,256,1.86,685,15.598425196850393,0.8435374149659864,Low,True,False
184,184,HP,3,2,1,5,39.62,0.8275862068965517,8,256,1.84,2414,15.598425196850393,0.8344671201814059,Medium,True,False
185,185,HP,5,3,1,7,39.62,0.896551724137931,8,256,2.59,1983,15.598425196850393,1.1746031746031744,Medium,True,False
186,186,Dell,4,2,1,7,31.75,0.9655172413793103,16,256,1.18,2361,12.5,0.5351473922902494,Medium,True,False
187,187,Samsung,4,2,1,7,39.62,0.9310344827586208,8,256,1.31,2031,15.598425196850393,0.5941043083900227,Medium,True,False
188,188,Dell,3,1,1,7,39.62,0.9310344827586208,16,256,2.3,1501,15.598425196850393,1.0430839002267573,Low,True,False
189,189,Acer,3,2,1,3,35.56,0.8275862068965517,4,128,1.8,808,14.0,0.8163265306122449,Low,False,True
190,190,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.62,1251,15.598425196850393,1.1882086167800454,Low,True,False
191,191,Dell,3,1,1,3,39.62,0.6896551724137931,8,256,2.0,939,15.598425196850393,0.9070294784580498,Low,True,False
192,192,HP,5,3,1,7,39.62,0.9655172413793103,8,256,3.14,2623,15.598425196850393,1.4240362811791383,Medium,True,False
193,193,Asus,3,2,1,5,39.62,0.8620689655172414,8,256,2.37,1396,15.598425196850393,1.0748299319727892,Low,True,False
194,194,Dell,4,2,1,5,33.78,0.8620689655172414,8,256,1.29,1904,13.299212598425196,0.5850340136054422,Medium,True,False
195,195,Samsung,4,2,1,5,33.78,0.8620689655172414,8,256,0.81,1904,13.299212598425196,0.3673469387755102,Medium,True,False
196,196,Dell,3,1,1,5,39.62,0.8620689655172414,8,256,2.18,1003,15.598425196850393,0.9886621315192744,Low,True,False
197,197,Lenovo,4,2,1,7,35.56,0.9310344827586208,8,256,1.32,2361,14.0,0.5986394557823129,Medium,True,False
198,198,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.4,1523,15.598425196850393,1.0884353741496597,Low,True,False
199,199,Acer,3,2,1,3,35.56,0.8275862068965517,8,128,1.5,786,14.0,0.6802721088435374,Low,False,True
200,200,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.7,1507,14.0,0.7709750566893424,Low,True,False
201,201,Lenovo,3,2,1,5,35.56,0.896551724137931,8,256,1.32,2096,14.0,0.5986394557823129,Medium,False,True
202,202,Dell,3,1,1,7,39.62,0.9310344827586208,4,256,2.18,939,15.598425196850393,0.9886621315192744,Low,True,False
203,203,Lenovo,4,3,1,7,35.56,0.9655172413793103,8,256,1.96,2417,14.0,0.8888888888888888,Medium,False,True
204,204,Asus,3,3,1,7,38.1,0.9310344827586208,8,256,2.3,1000,15.0,1.0430839002267573,Low,False,True
205,205,Dell,3,2,1,5,39.62,0.8620689655172414,8,128,1.9,1200,15.598425196850393,0.8616780045351473,Low,True,False
206,206,HP,3,1,1,5,39.62,0.896551724137931,8,256,1.84,1714,15.598425196850393,0.8344671201814059,Medium,True,False
207,207,Toshiba,3,2,1,5,33.78,0.8620689655172414,4,128,1.05,1632,13.299212598425196,0.4761904761904762,Medium,True,False
208,208,Acer,3,2,1,5,35.56,0.8620689655172414,8,256,1.56,1146,14.0,0.7074829931972789,Low,False,True
209,209,Toshiba,3,2,1,7,38.1,0.9310344827586208,8,256,2.0,1763,15.0,0.9070294784580498,Medium,False,True
210,210,Samsung,4,3,1,7,38.1,0.9310344827586208,16,256,1.23,2349,15.0,0.5578231292517006,Medium,True,False
211,211,Dell,4,2,1,7,31.75,0.9655172413793103,8,256,1.6,2147,12.5,0.7256235827664399,Medium,True,False
212,212,Xiaomi,4,3,1,5,33.02,0.793103448275862,8,256,1.28,1188,13.000000000000002,0.5804988662131519,Low,False,True
213,213,HP,3,2,1,5,39.62,0.8620689655172414,4,256,2.04,1066,15.598425196850393,0.9251700680272109,Low,True,False
214,214,HP,3,2,1,5,35.56,0.8620689655172414,4,128,1.95,1607,14.0,0.8843537414965986,Low,True,False
215,215,Samsung,4,2,1,7,38.1,0.9310344827586208,8,256,1.17,2158,15.0,0.5306122448979591,Medium,True,False
216,216,Lenovo,4,2,1,5,35.56,0.8620689655172414,8,256,1.32,2285,14.0,0.5986394557823129,Medium,False,True
217,217,Toshiba,3,2,1,5,33.78,0.8620689655172414,8,256,1.05,1874,13.299212598425196,0.4761904761904762,Medium,True,False
218,218,Dell,3,2,1,5,35.56,0.9655172413793103,8,256,1.6,1531,14.0,0.7256235827664399,Low,True,False
219,219,Lenovo,3,3,1,7,39.62,0.9310344827586208,6,256,2.2,1002,15.598425196850393,0.997732426303855,Low,True,False
220,220,HP,3,3,1,7,39.62,0.9310344827586208,8,256,2.04,1294,15.598425196850393,0.9251700680272109,Low,True,False
221,221,Lenovo,3,2,1,5,33.78,0.8620689655172414,4,128,1.44,1119,13.299212598425196,0.6530612244897959,Low,True,False
222,222,HP,3,2,1,5,33.78,0.8620689655172414,8,256,1.49,1219,13.299212598425196,0.6757369614512472,Low,True,False
223,223,HP,4,1,1,7,39.62,0.8620689655172414,8,256,1.84,1648,15.598425196850393,0.8344671201814059,Medium,True,False
224,224,Toshiba,3,3,1,7,38.1,0.896551724137931,16,256,2.4,2509,15.0,1.0884353741496597,Medium,False,True
225,225,Lenovo,4,2,1,7,30.48,0.9310344827586208,8,256,1.36,2096,12.0,0.6167800453514739,Medium,False,True
226,226,HP,3,2,1,5,39.62,0.793103448275862,8,256,2.31,1480,15.598425196850393,1.0476190476190477,Low,True,False
227,227,Toshiba,3,2,1,5,35.56,0.793103448275862,4,128,1.47,1404,14.0,0.6666666666666666,Low,False,True
228,228,HP,2,2,1,5,31.75,0.793103448275862,8,256,1.26,2120,12.5,0.5714285714285714,Medium,True,False
229,229,Dell,4,2,1,5,35.56,0.8620689655172414,8,256,1.36,2082,14.0,0.6167800453514739,Medium,True,False
230,230,Dell,4,2,1,5,39.62,0.8620689655172414,8,256,1.36,1870,15.598425196850393,0.6167800453514739,Medium,True,False
231,231,Dell,4,2,1,7,35.56,0.9655172413793103,8,256,1.36,2255,14.0,0.6167800453514739,Medium,True,False
232,232,Toshiba,3,2,1,5,33.78,0.793103448275862,8,256,1.2,1855,13.299212598425196,0.5442176870748299,Medium,True,False
233,233,Lenovo,4,2,1,7,35.56,0.896551724137931,8,256,1.7,1891,14.0,0.7709750566893424,Medium,False,True
234,234,Toshiba,3,2,1,5,33.78,0.8275862068965517,8,256,1.2,1950,13.299212598425196,0.5442176870748299,Medium,True,False
235,235,Lenovo,4,2,1,5,30.48,0.896551724137931,8,256,1.36,2236,12.0,0.6167800453514739,Medium,False,True
236,236,Lenovo,3,3,1,5,39.62,0.8620689655172414,6,256,2.4,883,15.598425196850393,1.0884353741496597,Low,True,False
237,237,Toshiba,3,2,1,5,35.56,0.793103448275862,8,256,1.95,1499,14.0,0.8843537414965986,Low,True,False
